0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
-0.0785,0.2006,-0.1831,-0.1482,0,-0.1046,0.0698,0.0698,0,0
0.2356,0.2199,1.0054,1.0683,1.4296,1.1625,1.2882,1.0526,0.3299,0.7069
0.6284,0.4556,0.3142,0.2828,0.1885,0.5656,1.1154,1.5082,0.6912,1.3196
0.5341,0.5184,0.1571,0.1885,0,0.1728,1.571,0.6127,0.2514,0.6912
0.0262,0.1308,-0.0698,-0.0087,0.1221,-0.0174,0,0,0,0.0262
0.2828,0.4242,0.974,1.0683,1.571,1.571,1.3982,1.571,0.1885,1.1625
0.7069,0.8012,0.4556,0.4399,1.2411,0.8169,1.0683,1.3982,0.9112,1.3825
0.5498,0.487,0.1728,0.0785,0.6912,0.2828,1.1468,1.1468,0.2356,1.0369
-0.0523,0.0174,0.0349,0.1308,-0.0087,-0.0959,0,0,0,0
0.2356,0.7069,0.974,1.0683,1.571,1.571,1.2725,1.571,0.2828,1.2882
0.8798,0.8798,0.4399,0.3299,1.3511,0.9112,1.0369,1.3511,0.8012,1.3982
0.4399,0.3299,0,0.2356,0.7698,0.2514,0.974,0.974,0.2199,1.3668
0.0698,0.0698,0.0698,0.0698,0.0698,0,0.0698,0.0698,0,0.0698
-0.3226,-0.2703,0.1395,-0.0174,-0.0785,-0.0262,-0.0087,-0.0087,-0.0349,-0.0174
0.1728,0.597,0.9583,0.7541,1.3825,1.571,1.2568,1.571,0.2356,1.3982
0.6598,0.864,0.2199,0.3927,1.571,0.9583,1.1311,1.3982,0.9583,1.571
0.7069,0.5498,0.0314,0.377,0.7384,0.2042,1.571,1.571,0.2828,1.5553
-0.1047,-0.0419,0.712,0.2303,0.3141,0.1675,0.2932,0.3769,-0.1885,0.5863
1.309,0.3796,0.9425,1.165,1.309,0.9425,1.309,0.7723,1.309,0.733
-0.262,0.131,0.262,-0.0262,-0.0576,-0.0996,0,-0.2148,-0.262,-0.1572
-0.0838,0.0419,0.1572,0.1153,-0.0524,0.021,0.524,0.3039,0.524,0.3668
0.4186,0.279,0.0171,0.1393,0.1044,0.3663,0.244,0.3663,0,0
